,reward
393,-3.1328400000000327
394,-4.497280000000034
395,-9.14866000000004
396,-2.987600000000004
397,-3.070060000000014
398,-39.62599000000015
399,-2.0197599999999993
400,-4.2712800000000355
401,-2.404840000000003
402,-2.5256000000000016
403,-2.9027900000000053
404,-5.952470000000023
405,-66.09767000000012
406,-10.654850000000035
407,-2.5206600000000083
408,-2.614280000000009
409,-12.56765000000004
410,-92.75331999999995
411,-2.1590200000000013
412,-24.230800000000077
413,-49.54903000000013
414,-6.067180000000051
415,-6.107410000000029
416,-3.542000000000007
417,-4.464540000000024
418,-2.8782000000000134
419,-2.632430000000004
420,-5.715280000000025
421,-3.7484400000000124
422,-11.78023000000005
423,-2.2456000000000027
424,-2.6862000000000053
425,-15.608120000000058
426,-9.589800000000052
427,-1.874100000000002
428,-2.355920000000006
429,-2.0157000000000145
430,-1.9777600000000009
431,-3.8233800000000184
432,-28.989430000000084
433,-31.506270000000026
434,-4.70531000000002
435,-12.705390000000047
436,-86.56103000000016
437,-4.206240000000017
438,-3.505860000000012
439,-2.371600000000001
440,-3.643880000000023
441,-7.797960000000038
442,-2.3210800000000154
443,-11.115890000000046
444,-2.8952000000000035
445,-2.699550000000011
446,-1.878799999999999
447,-4.594220000000024
448,-2.0961499999999993
449,-8.236100000000022
450,-11.691740000000038
451,-37.36998000000009
452,-2.708400000000009
453,-10.092000000000004
454,-5.239440000000038
455,-2.3847700000000267
456,-4.988820000000016
457,-11.617260000000043
458,-2.6089300000000213
459,-4.638960000000027
460,-2.8389000000000144
461,-5.632210000000045
462,-3.1553800000000165
463,-3.018400000000004
464,-8.084180000000046
465,-3.238520000000026
466,-5.799960000000023
467,-84.14021000000018
468,-2.603290000000012
469,-1.847999999999999
470,-5.199760000000032
471,-2.0610100000000164
472,-2.7790100000000115
473,-2.8578100000000233
474,-65.86252000000007
475,-7.192540000000041
476,-3.0368200000000165
477,-4.534930000000031
478,-7.8381400000000365
479,-2.219560000000005
480,-8.441280000000045
481,-2.965350000000021
482,-2.0793800000000005
483,-2.2537600000000007
484,-2.587200000000002
485,-18.606150000000028
486,-2.7152100000000106
487,-5.324990000000033
488,-2.905270000000018
489,-5.168250000000033
490,-3.0050800000000146
491,-15.747540000000063
492,-2.4519200000000074
493,-2.3763400000000106
494,-2.162160000000005
495,-21.222080000000066
496,-9.104720000000011
497,-2.729110000000011
498,-5.989880000000043
499,-24.146100000000047
500,-66.38760000000012
501,-1.786399999999999
502,-25.445280000000118
503,-2.496220000000002
504,-9.756380000000034
505,-7.870210000000055
506,-1.4783999999999997
507,-2.1256200000000116
508,-5.044980000000027
509,-2.1251999999999995
510,-8.47780000000001
511,-2.799780000000011
512,-7.469030000000029
513,-2.063599999999999
514,-1.6015999999999995
515,-3.377940000000021
516,-2.161530000000008
517,-4.9474400000000225
518,-8.03343000000005
519,-21.411150000000077
520,-15.115400000000072
521,-17.192310000000035
522,-4.246440000000029
523,-2.6397500000000056
524,-2.1559999999999997
525,-1.7555999999999992
526,-38.49347000000003
527,-1.6487000000000038
528,-7.018160000000061
529,-6.503900000000041
530,-1.90811
531,-3.438060000000024
532,-2.1868
533,-1.8507999999999993
534,-25.75042000000005
535,-5.2419400000000405
536,-2.720080000000017
537,-18.24260000000002
538,-2.765160000000007
539,-1.786399999999999
540,-12.917520000000035
541,-5.159100000000036
542,-23.18574000000006
543,-3.679420000000024
544,-2.138100000000002
545,-2.738540000000013
