,Counts,Txed,AvgScore,MeanAoI,MaxAoI,AveConsPower
0,[254],10.0,-50.370089142657534,7.467458990199688,26.158934701068553,0.385572
1,[256],10.0,-54.730875436164936,6.251625050598548,11.743434816817135,0.3886080000000001
2,[247],10.0,-58.018697240929995,10.641058509521972,36.16089368923647,0.37494599999999983
3,[253],10.0,-57.009999139073145,5.0376932281615945,10.154181326098549,0.384054
4,[255],10.0,-58.746511737833735,7.296148047871583,20.539619383662384,0.38709000000000005
5,[243],10.0,-47.04235674570944,6.533753984937719,18.19934106496371,0.3688739999999997
6,[256],10.0,-52.37748283587198,8.114166462500405,29.78179422918647,0.3886080000000001
7,[252],10.0,-58.70362464023775,5.593105075731713,13.191894471300659,0.382536
8,[257],10.0,-51.3299823381376,5.894129469612668,16.07692107372773,0.39012600000000014
