time,node,aoi
84118,[1 7],[45532 25684]
84395,[6],[0]
84669,[6],[0]
84958,[4],[0]
85229,[4],[0]
85502,[6],[0]
85777,[6],[0]
86066,[6],[0]
86340,[4],[0]
86612,[6],[0]
86886,[6],[0]
87175,[4 6],[0 0]
87465,[1],[0]
87765,[1],[0]
88059,[1],[0]
88345,[8],[0]
88616,[6],[0]
88898,[8],[0]
89170,[1],[0]
89443,[6],[0]
89718,[8],[0]
90008,[1 8],[0 0]
90279,[6],[0]
90563,[6],[0]
90836,[6],[0]
91124,[9],[0]
91401,[6],[0]
91680,[9],[0]
91954,[9],[0]
92226,[9],[0]
92506,[6],[0]
92791,[6],[0]
93063,[9],[0]
93336,[9],[0]
93608,[9],[0]
93893,[6],[0]
94166,[6],[0]
94439,[9],[0]
94712,[6],[0]
94991,[9],[0]
95262,[6],[0]
95553,[6],[0]
95824,[6],[0]
96099,[9],[0]
96383,[9],[0]
96655,[9],[0]
96933,[6],[0]
97207,[2],[0]
97481,[9],[0]
97758,[2],[0]
98036,[2],[0]
98309,[6],[0]
98584,[9],[0]
98855,[9],[0]
99127,[9],[0]
99399,[2],[0]
99673,[6],[0]
99947,[3],[0]
100224,[9],[0]
