,reward
277,-2.747500000000018
278,-24.04600000000013
279,-29.09400000000013
280,-4.161000000000028
281,-1.3027000000000155
282,-2.8640000000000483
283,-4.3519000000000485
284,-2.940000000000027
285,-11.46880000000008
286,-21.012100000000103
287,-13.758000000000113
288,-3.221800000000018
289,-10.505800000000075
290,-3.094200000000042
291,-1.6631999999999993
292,-1.7895000000000258
293,-3.6879000000000417
294,-4.415300000000041
295,-8.610200000000084
296,-3.5118000000000418
297,-4.086700000000038
298,-1.237500000000013
299,-1.8564000000000014
300,-19.093800000000076
301,-3.0102000000000286
302,-19.755500000000122
303,-13.04240000000007
304,-7.926100000000063
305,-3.079200000000027
306,-2.087600000000017
307,-2.5895000000000237
308,-4.7974000000000245
309,-4.1155000000000435
310,-1.537200000000014
311,-9.452800000000074
312,-6.715700000000043
313,-1.76360000000001
314,-4.910500000000031
315,-5.511700000000049
316,-1.8602000000000078
317,-5.669800000000038
318,-10.612500000000056
319,-2.391000000000018
320,-9.08260000000005
321,-6.925100000000043
322,-2.8122000000000282
323,-3.2339000000000215
324,-4.80320000000002
325,-2.782400000000025
326,-4.0684000000000395
327,-5.122900000000026
328,-1.5273000000000203
329,-7.050500000000055
330,-1.2210000000000147
331,-7.4995000000000545
332,-9.09420000000003
333,-11.15730000000008
334,-5.26210000000004
335,-1.3659000000000079
336,-2.3097000000000296
337,-7.306600000000047
338,-2.145500000000024
339,-1.7058000000000058
340,-2.1217000000000037
341,-1.6631999999999993
342,-7.607900000000067
343,-12.090200000000083
344,-3.2115000000000338
345,-4.565800000000029
346,-1.7303000000000144
347,-5.352500000000041
348,-1.0798000000000079
349,-4.143600000000036
350,-1.5758000000000096
351,-3.334500000000038
352,-7.8416000000000565
353,-9.201600000000079
354,-21.002800000000097
355,-4.308300000000054
356,-3.5009000000000174
357,-10.772200000000078
358,-2.6603000000000234
359,-5.592100000000066
360,-12.557300000000067
361,-4.067000000000031
362,-3.046200000000034
363,-9.15100000000006
364,-6.405700000000041
365,-2.384700000000023
366,-8.677800000000074
367,-25.56210000000013
368,-12.20560000000003
369,-2.3036000000000034
370,-10.020700000000067
371,-1.6744000000000183
372,-8.343000000000071
373,-2.651300000000022
374,-3.9252000000000233
375,-2.716500000000019
376,-1.389800000000018
377,-11.687800000000102
378,-16.218400000000052
379,-2.8871000000000295
380,-1.6080000000000132
381,-6.343900000000056
382,-5.946000000000037
383,-6.712300000000057
384,-2.9740000000000335
385,-3.6071000000000253
386,-9.413800000000073
387,-5.989500000000036
388,-12.393800000000054
389,-4.340300000000029
390,-5.26500000000005
391,-9.139900000000093
392,-3.4135000000000453
393,-11.989500000000097
394,-2.646400000000009
395,-5.043100000000031
396,-4.557500000000054
