,N_epi,Forward,Discard,Skip,Txed,AvgScore,MeanAoI(ms),MaxAoI(ms),AveConsPower(Watts)
0,0,83,95,68,8.0,"tensor([-410.6861], device='cuda:0')",21.204255435358338,40.999969840049744,0.112695
0,1,66,87,94,10.0,"tensor([-457.3707], device='cuda:0')",23.032374113896175,45.2499657869339,0.10043
0,2,100,101,62,10.0,"tensor([-432.2807], device='cuda:0')",20.8887706671845,40.74997007846832,0.127655
0,3,116,72,69,10.0,"tensor([-336.2823], device='cuda:0')",17.549601246889118,35.499975085258484,0.13519
0,4,81,94,70,9.0,"tensor([-387.5806], device='cuda:0')",20.21631436156375,40.999969840049744,0.10747
0,5,85,98,76,10.0,"tensor([-464.7524], device='cuda:0')",22.430487931975698,43.74996721744537,0.11869
0,6,84,92,71,9.0,"tensor([-396.4321], device='cuda:0')",20.453428950251233,40.74997007846832,0.109725
0,7,93,86,79,9.0,"tensor([-425.2390], device='cuda:0')",20.90308806288612,41.249969601631165,0.123035
0,8,91,91,74,10.0,"tensor([-419.1373], device='cuda:0')",20.831042099234764,41.249969601631165,0.118965
0,9,86,89,76,9.0,"tensor([-398.1896], device='cuda:0')",20.348593465560874,41.249969601631165,0.116875
0,10,85,92,70,9.0,"tensor([-389.9273], device='cuda:0')",20.128875298505704,40.4999703168869,0.113685
0,11,101,79,82,9.0,"tensor([-440.5274], device='cuda:0')",21.32441455014903,40.24997055530548,0.12892
0,12,90,104,65,10.0,"tensor([-443.2374], device='cuda:0')",21.47888796530136,42.49996840953827,0.121165
0,13,92,74,74,9.0,"tensor([-349.5262], device='cuda:0')",18.989572361072835,37.24997341632843,0.112915
0,14,96,86,69,10.0,"tensor([-384.1608], device='cuda:0')",19.759948542378694,38.749971985816956,0.121055
0,15,96,90,75,10.0,"tensor([-426.1555], device='cuda:0')",20.795006615598595,41.249969601631165,0.12683
0,16,93,80,79,10.0,"tensor([-375.9967], device='cuda:0')",19.39780614893174,39.74997103214264,0.11726
0,17,92,91,73,10.0,"tensor([-400.9825], device='cuda:0')",20.13865988010366,40.999969840049744,0.120615
0,18,81,98,67,10.0,"tensor([-400.6758], device='cuda:0')",20.765231376157967,41.499969363212585,0.10824
0,19,85,84,78,10.0,"tensor([-384.4230], device='cuda:0')",19.998975972143505,40.74997007846832,0.11638
0,20,88,94,69,10.0,"tensor([-408.8292], device='cuda:0')",20.758951639207414,40.74997007846832,0.115555
0,21,73,101,81,10.0,"tensor([-470.8440], device='cuda:0')",22.99116196622159,45.49996554851532,0.10659
0,22,113,87,59,10.0,"tensor([-352.3066], device='cuda:0')",18.011572916046305,36.49997413158417,0.136015
0,23,96,94,69,9.0,"tensor([-431.0589], device='cuda:0')",21.169871433087874,40.999969840049744,0.122595
0,24,85,96,68,10.0,"tensor([-397.0028], device='cuda:0')",20.417658452797365,40.999969840049744,0.11176
0,25,86,100,62,9.0,"tensor([-375.9821], device='cuda:0')",19.518133609615745,40.74997007846832,0.113025
0,26,108,97,63,9.0,"tensor([-431.0793], device='cuda:0')",20.579278808253914,40.24997055530548,0.13739
0,27,97,99,60,9.0,"tensor([-386.7872], device='cuda:0')",19.424244544511833,39.99997079372406,0.12386
0,28,92,83,73,9.0,"tensor([-364.3843], device='cuda:0')",19.171359879903555,38.99997174739838,0.118305
0,29,116,78,74,9.0,"tensor([-407.1270], device='cuda:0')",19.605398913254657,38.249972462654114,0.140965
0,30,105,85,60,10.0,"tensor([-359.5262], device='cuda:0')",18.84398921765387,36.24997437000275,0.12859
0,31,107,85,65,10.0,"tensor([-359.6051], device='cuda:0')",18.41633193546377,37.49997317790985,0.13035
0,32,90,99,71,8.0,"tensor([-444.5184], device='cuda:0')",21.599025228777183,42.49996840953827,0.12001
0,33,81,88,89,10.0,"tensor([-457.7426], device='cuda:0')",22.21510246713725,44.249966740608215,0.11517
0,34,103,94,61,8.0,"tensor([-411.9192], device='cuda:0')",20.44281729987945,38.749971985816956,0.13145
0,35,87,91,85,10.0,"tensor([-486.7952], device='cuda:0')",22.953161109536463,43.999966979026794,0.121605
0,36,84,89,76,10.0,"tensor([-414.5383], device='cuda:0')",21.139545362801798,41.499969363212585,0.1155
0,37,90,78,76,10.0,"tensor([-369.7727], device='cuda:0')",19.630111471871984,38.499972224235535,0.11693
0,38,80,110,70,10.0,"tensor([-498.1262], device='cuda:0')",23.678831113144184,44.99996602535248,0.116215
0,39,92,90,66,9.0,"tensor([-340.1537], device='cuda:0')",18.04736864925813,39.2499715089798,0.119845
0,40,95,74,81,10.0,"tensor([-375.9914], device='cuda:0')",19.494988545402883,38.749971985816956,0.119405
0,41,80,113,71,9.0,"tensor([-500.0780], device='cuda:0')",23.42422750432778,45.99996507167816,0.11737
0,42,98,82,68,10.0,"tensor([-359.7200], device='cuda:0')",18.939505225693388,37.49997317790985,0.122045
0,43,83,85,82,10.0,"tensor([-415.8092], device='cuda:0')",21.14898720048368,41.99996888637543,0.11385
0,44,88,101,82,10.0,"tensor([-509.7335], device='cuda:0')",23.298878211363107,45.74996531009674,0.123255
0,45,91,95,72,10.0,"tensor([-399.9880], device='cuda:0')",19.912778816272528,41.749969124794006,0.122815
0,46,88,82,81,10.0,"tensor([-408.3604], device='cuda:0')",20.76990782576372,40.999969840049744,0.118635
0,47,89,92,73,9.0,"tensor([-433.0959], device='cuda:0')",21.44746869069655,41.249969601631165,0.117205
0,48,85,94,72,10.0,"tensor([-427.3940], device='cuda:0')",21.501978846875378,41.499969363212585,0.115995
0,49,99,93,68,10.0,"tensor([-416.9398], device='cuda:0')",20.467295413120436,40.4999703168869,0.128315
0,50,91,92,67,10.0,"tensor([-386.2393], device='cuda:0')",19.88298823144287,39.99997079372406,0.116655
0,51,86,99,68,10.0,"tensor([-405.4996], device='cuda:0')",20.501963965587404,41.749969124794006,0.113795
0,52,82,99,73,10.0,"tensor([-427.2249], device='cuda:0')",21.254908250219476,42.99996793270111,0.114895
0,53,93,87,75,9.0,"tensor([-403.0574], device='cuda:0')",20.231893632118492,40.4999703168869,0.12111
0,54,90,81,77,10.0,"tensor([-363.6494], device='cuda:0')",19.125996979193822,39.49997127056122,0.115775
0,55,86,103,74,9.0,"tensor([-483.2440], device='cuda:0')",22.82603124099936,44.249966740608215,0.118415
0,56,93,92,73,10.0,"tensor([-402.7734], device='cuda:0')",20.047468650912823,41.499969363212585,0.12342
0,57,91,82,86,10.0,"tensor([-450.1146], device='cuda:0')",21.883191167948674,41.99996888637543,0.12243
0,58,79,86,87,10.0,"tensor([-438.3246], device='cuda:0')",21.899788098276726,43.49996745586395,0.11341
0,59,91,86,80,9.0,"tensor([-435.9683], device='cuda:0')",21.473722327645532,41.499969363212585,0.12012
0,60,88,104,68,10.0,"tensor([-439.2027], device='cuda:0')",21.422102343147763,42.99996793270111,0.12056
0,61,97,82,76,8.0,"tensor([-390.4384], device='cuda:0')",19.798027585607535,39.49997127056122,0.122705
0,62,89,110,58,10.0,"tensor([-435.0158], device='cuda:0')",21.42411145356263,41.99996888637543,0.11913
0,63,98,74,83,9.0,"tensor([-383.2792], device='cuda:0')",19.35783167552276,39.2499715089798,0.12166
0,64,95,92,73,10.0,"tensor([-438.1245], device='cuda:0')",21.24329534610297,41.249969601631165,0.12287
0,65,72,85,90,10.0,"tensor([-438.9965], device='cuda:0')",22.266180471324848,43.999966979026794,0.107635
0,66,102,78,70,9.0,"tensor([-353.5218], device='cuda:0')",18.593989427015185,37.24997341632843,0.12595
0,67,102,75,73,10.0,"tensor([-351.6171], device='cuda:0')",18.43398944400251,36.99997365474701,0.124025
0,68,99,100,68,10.0,"tensor([-430.6728], device='cuda:0')",20.598302214068084,42.24996864795685,0.130625
0,69,97,84,78,9.0,"tensor([-426.8300], device='cuda:0')",20.95365531825277,40.4999703168869,0.124245
0,70,106,86,62,10.0,"tensor([-339.0284], device='cuda:0')",17.75687977224295,36.99997365474701,0.129085
0,71,101,85,71,9.0,"tensor([-399.3595], device='cuda:0')",19.991233315072403,39.2499715089798,0.12815
0,72,90,88,83,10.0,"tensor([-455.0150], device='cuda:0')",21.927189531868102,42.74996817111969,0.12078
0,73,102,82,78,9.0,"tensor([-373.2024], device='cuda:0')",18.57823351103073,39.99997079372406,0.12903
0,74,99,87,82,9.0,"tensor([-439.9996], device='cuda:0')",20.873121666867952,42.24996864795685,0.13101
0,75,86,88,86,10.0,"tensor([-463.1791], device='cuda:0')",22.3297938099131,43.74996721744537,0.1188
0,76,91,80,88,10.0,"tensor([-438.9698], device='cuda:0')",21.396801902106397,41.99996888637543,0.120505
0,77,103,93,65,10.0,"tensor([-400.4259], device='cuda:0')",19.826616716688907,39.49997127056122,0.128755
0,78,92,80,82,9.0,"tensor([-413.8875], device='cuda:0')",20.723412658535235,40.4999703168869,0.121385
0,79,92,93,73,10.0,"tensor([-395.8883], device='cuda:0')",19.724794456648617,41.749969124794006,0.122925
0,80,102,76,79,10.0,"tensor([-368.2655], device='cuda:0')",18.70524208840519,38.749971985816956,0.130185
0,81,105,93,67,10.0,"tensor([-410.7381], device='cuda:0')",19.997158031559216,39.99997079372406,0.132825
0,82,91,97,75,9.0,"tensor([-466.3103], device='cuda:0')",22.20340824859507,43.24996769428253,0.122045
0,83,91,75,79,10.0,"tensor([-366.6184], device='cuda:0')",19.3999886364505,38.749971985816956,0.11242
0,84,85,93,80,10.0,"tensor([-445.7475], device='cuda:0')",21.80425018674961,43.49996745586395,0.11869
0,85,84,111,80,10.0,"tensor([-534.7490], device='cuda:0')",23.95180284181102,47.74996340274811,0.1232
0,86,88,80,84,10.0,"tensor([-420.8712], device='cuda:0')",21.189471276935247,40.999969840049744,0.115555
