,N_epi,Forward,Discard,Skip,Txed,AvgScore,MeanAoI(ms),MaxAoI(ms),AveConsPower(Watts)
0,87,91,93,76,8.0,"tensor([-433.1041], device='cuda:0')",21.14614103634197,42.24996864795685,0.11935
0,88,101,98,62,10.0,"tensor([-398.8102], device='cuda:0')",19.606256556273394,39.99997079372406,0.126995
0,89,92,88,70,10.0,"tensor([-383.3948], device='cuda:0')",19.827988327667118,39.74997103214264,0.11792
0,90,89,89,73,8.0,"tensor([-398.2249], device='cuda:0')",20.2928164957158,40.4999703168869,0.118745
0,91,96,88,65,9.0,"tensor([-388.3196], device='cuda:0')",20.004143094867768,38.499972224235535,0.121825
0,92,81,94,71,10.0,"tensor([-393.7361], device='cuda:0')",20.47153243045436,41.249969601631165,0.112475
0,93,106,92,66,10.0,"tensor([-413.6677], device='cuda:0')",20.117412306100242,39.74997103214264,0.133705
0,94,88,100,78,9.0,"tensor([-487.8461], device='cuda:0')",22.848669874054707,44.499966502189636,0.123255
0,95,104,86,62,9.0,"tensor([-348.8272], device='cuda:0')",18.302569041095143,37.24997341632843,0.12771
0,96,96,80,77,9.0,"tensor([-367.0125], device='cuda:0')",18.917973231516864,39.2499715089798,0.12375
0,97,104,85,56,9.0,"tensor([-318.1289], device='cuda:0')",17.354071999766994,35.24997532367706,0.12386
0,98,90,90,74,10.0,"tensor([-421.2213], device='cuda:0')",21.050184059844124,41.249969601631165,0.11924
0,99,102,76,73,9.0,"tensor([-362.6074], device='cuda:0')",18.833654424717345,37.49997317790985,0.125565
0,100,99,76,79,10.0,"tensor([-387.2137], device='cuda:0')",19.716523888000236,38.99997174739838,0.12639
0,101,84,101,68,10.0,"tensor([-428.6041], device='cuda:0')",21.431805104709312,42.49996840953827,0.112035
0,102,85,97,68,10.0,"tensor([-409.8432], device='cuda:0')",20.856987415626644,41.249969601631165,0.115225
0,103,90,89,79,9.0,"tensor([-452.3332], device='cuda:0')",22.049405017521146,42.24996864795685,0.12155
0,104,88,82,83,10.0,"tensor([-411.3464], device='cuda:0')",20.659078435287643,41.249969601631165,0.11748
0,105,97,90,69,10.0,"tensor([-386.8482], device='cuda:0')",19.458972806205566,39.99997079372406,0.1254
0,106,83,87,86,8.0,"tensor([-461.3868], device='cuda:0')",22.525376575322298,43.24996769428253,0.11231
0,107,81,100,68,10.0,"tensor([-423.7121], device='cuda:0')",21.483922569664664,42.24996864795685,0.112475
0,108,98,105,59,9.0,"tensor([-425.4497], device='cuda:0')",20.665063864892733,41.249969601631165,0.126665
0,109,103,92,65,10.0,"tensor([-397.9355], device='cuda:0')",19.733642224186603,39.49997127056122,0.13068
0,110,84,91,60,10.0,"tensor([-333.9063], device='cuda:0')",18.631904209627116,37.74997293949127,0.10703
0,111,88,75,86,10.0,"tensor([-380.6802], device='cuda:0')",19.782116883864486,40.24997055530548,0.11594
0,112,93,90,85,9.0,"tensor([-461.4336], device='cuda:0')",21.6072627120832,43.74996721744537,0.127655
0,113,91,76,82,9.0,"tensor([-396.4253], device='cuda:0')",20.37649385997629,39.49997127056122,0.1155
0,114,90,97,74,10.0,"tensor([-457.1040], device='cuda:0')",22.030637754034608,42.74996817111969,0.12155
0,115,90,76,83,10.0,"tensor([-377.7803], device='cuda:0')",19.580309717059432,39.74997103214264,0.11539
0,116,99,92,63,9.0,"tensor([-393.6220], device='cuda:0')",19.8795164581484,38.749971985816956,0.12485
0,117,93,82,72,10.0,"tensor([-356.2640], device='cuda:0')",18.768547455823594,38.499972224235535,0.11726
0,118,86,89,88,10.0,"tensor([-471.4054], device='cuda:0')",22.41228690689709,44.249966740608215,0.120725
0,119,97,74,72,10.0,"tensor([-322.3683], device='cuda:0')",17.626533311994848,36.49997413158417,0.120395
0,120,89,99,83,10.0,"tensor([-482.2089], device='cuda:0')",22.243471882450972,45.49996554851532,0.126445
0,121,93,74,79,10.0,"tensor([-359.8043], device='cuda:0')",19.106696259487816,38.499972224235535,0.12034
0,122,94,93,65,10.0,"tensor([-381.7706], device='cuda:0')",19.633917096218774,39.49997127056122,0.12199
0,123,102,89,68,10.0,"tensor([-398.6301], device='cuda:0')",19.705722675642527,39.2499715089798,0.1298
0,124,92,80,84,9.0,"tensor([-410.2485], device='cuda:0')",20.448654855973864,40.999969840049744,0.121385
0,125,103,94,71,10.0,"tensor([-438.6242], device='cuda:0')",20.774468684108125,41.499969363212585,0.13607
0,126,95,87,77,10.0,"tensor([-431.4447], device='cuda:0')",21.122574053244474,40.999969840049744,0.12518
0,127,83,84,76,8.0,"tensor([-377.0108], device='cuda:0')",19.99175773508111,39.99997079372406,0.112695
0,128,95,103,60,8.0,"tensor([-393.2976], device='cuda:0')",19.668592985849394,40.74997007846832,0.123255
0,129,95,92,66,8.0,"tensor([-404.2862], device='cuda:0')",20.433782234515537,39.74997103214264,0.12287
0,130,80,105,77,10.0,"tensor([-501.1627], device='cuda:0')",23.667923934608414,45.74996531009674,0.11737
0,131,93,87,67,10.0,"tensor([-359.5885], device='cuda:0')",18.873470732075003,38.499972224235535,0.119185
0,132,103,88,62,10.0,"tensor([-367.9573], device='cuda:0')",18.897222203162055,37.49997317790985,0.12529
0,133,94,88,72,10.0,"tensor([-405.2068], device='cuda:0')",20.342507441051477,39.99997079372406,0.122375
0,134,76,89,85,9.0,"tensor([-444.1580], device='cuda:0')",22.25598616041243,43.74996721744537,0.10846
0,135,81,90,78,9.0,"tensor([-410.1880], device='cuda:0')",20.972878881636632,42.24996864795685,0.11286
0,136,79,83,93,10.0,"tensor([-432.7365], device='cuda:0')",21.478418220638062,43.999966979026794,0.111485
0,137,100,100,57,10.0,"tensor([-397.2879], device='cuda:0')",19.833645801846274,39.49997127056122,0.12804
0,138,108,80,64,10.0,"tensor([-328.2732], device='cuda:0')",17.407728415278214,35.999974608421326,0.128535
0,139,81,113,70,10.0,"tensor([-486.6732], device='cuda:0')",22.938432535474107,45.74996531009674,0.119405
0,140,94,89,70,10.0,"tensor([-395.9114], device='cuda:0')",20.093861614122044,39.74997103214264,0.12045
0,141,95,71,88,10.0,"tensor([-375.4088], device='cuda:0')",19.260815575748214,39.74997103214264,0.12287
0,142,92,89,74,9.0,"tensor([-441.7321], device='cuda:0')",21.75194738049279,40.999969840049744,0.122155
0,143,102,81,62,10.0,"tensor([-355.4240], device='cuda:0')",18.915295201942932,35.749974846839905,0.122485
0,144,102,99,51,9.0,"tensor([-358.8407], device='cuda:0')",18.650782959432238,37.49997317790985,0.12441
0,145,87,94,83,10.0,"tensor([-474.8305], device='cuda:0')",22.46968292641792,44.249966740608215,0.12276
0,146,104,94,60,10.0,"tensor([-367.8894], device='cuda:0')",18.68215982924945,38.499972224235535,0.129635
0,147,83,84,84,10.0,"tensor([-431.6047], device='cuda:0')",21.706161996260644,42.24996864795685,0.11308
0,148,94,84,78,10.0,"tensor([-412.0283], device='cuda:0')",20.515612651070114,40.4999703168869,0.12199
0,149,94,92,70,10.0,"tensor([-401.6825], device='cuda:0')",20.19725368845684,40.4999703168869,0.122375
0,150,93,100,64,10.0,"tensor([-416.5472], device='cuda:0')",20.695512897809717,40.999969840049744,0.12265
0,151,104,78,73,10.0,"tensor([-397.3893], device='cuda:0')",20.004890089964164,37.74997293949127,0.12617
0,152,94,88,76,10.0,"tensor([-410.5539], device='cuda:0')",20.309327815218353,40.999969840049744,0.12353
0,153,99,90,69,10.0,"tensor([-394.7993], device='cuda:0')",19.656220394422334,39.99997079372406,0.12793
0,154,90,91,84,9.0,"tensor([-479.8164], device='cuda:0')",22.61885380372405,43.999966979026794,0.12694
0,155,87,90,73,10.0,"tensor([-399.1391], device='cuda:0')",20.457987785711886,40.999969840049744,0.116215
0,156,106,72,74,10.0,"tensor([-343.8288], device='cuda:0')",18.061497783850108,36.49997413158417,0.129855
0,157,97,89,74,10.0,"tensor([-397.1101], device='cuda:0')",19.710565249865446,40.74997007846832,0.126555
0,158,92,90,77,10.0,"tensor([-424.1891], device='cuda:0')",20.796319425221114,41.99996888637543,0.121385
0,159,94,96,67,10.0,"tensor([-409.0027], device='cuda:0')",20.310299085445905,40.74997007846832,0.12276
0,160,91,87,63,9.0,"tensor([-365.7652], device='cuda:0')",19.54666896649787,37.49997317790985,0.11473
0,161,82,94,80,10.0,"tensor([-423.6112], device='cuda:0')",20.987719915456854,43.49996745586395,0.113355
0,162,92,87,68,9.0,"tensor([-371.1184], device='cuda:0')",19.4858185571773,38.99997174739838,0.11792
0,163,83,90,95,10.0,"tensor([-489.9328], device='cuda:0')",22.814351362315243,46.499964594841,0.12078
0,164,96,78,83,10.0,"tensor([-429.8895], device='cuda:0')",21.230531896460903,40.24997055530548,0.12606
0,165,97,91,81,10.0,"tensor([-440.2794], device='cuda:0')",20.80760822686813,43.24996769428253,0.129635
0,166,93,100,64,9.0,"tensor([-427.3721], device='cuda:0')",21.14103780262143,41.249969601631165,0.12419
0,167,91,74,87,9.0,"tensor([-405.7970], device='cuda:0')",20.56943207982898,40.24997055530548,0.12012
0,168,84,103,74,10.0,"tensor([-447.0680], device='cuda:0')",21.60726637272628,44.249966740608215,0.118965
0,169,107,94,68,10.0,"tensor([-437.2100], device='cuda:0')",20.631122926352067,40.4999703168869,0.13574
0,170,103,76,71,10.0,"tensor([-358.2470], device='cuda:0')",18.701989224925637,36.74997389316559,0.12606
0,171,104,79,72,9.0,"tensor([-371.3993], device='cuda:0')",19.03822433459116,37.99997270107269,0.128865
0,172,104,80,67,10.0,"tensor([-340.0872], device='cuda:0')",17.907360398889594,36.99997365474701,0.1254
0,173,96,79,79,10.0,"tensor([-417.2828], device='cuda:0')",20.91632600118384,39.49997127056122,0.121825
0,174,87,100,76,10.0,"tensor([-472.9597], device='cuda:0')",22.47622173895684,44.249966740608215,0.12199
0,175,86,95,75,9.0,"tensor([-448.1263], device='cuda:0')",22.005845788771694,42.74996817111969,0.11649
0,176,90,94,70,10.0,"tensor([-439.7608], device='cuda:0')",21.802152001196298,41.249969601631165,0.120395
0,177,88,94,68,9.0,"tensor([-399.9738], device='cuda:0')",20.433987735770643,40.4999703168869,0.115555
0,178,88,96,71,10.0,"tensor([-415.6461], device='cuda:0')",20.695085468355053,41.99996888637543,0.117865
0,179,96,93,63,10.0,"tensor([-408.8356], device='cuda:0')",20.7331225562412,39.2499715089798,0.123365
0,180,92,84,76,9.0,"tensor([-391.0911], device='cuda:0')",20.00197230464971,39.99997079372406,0.119845
0,181,97,91,67,10.0,"tensor([-387.8525], device='cuda:0')",19.624498239261847,39.49997127056122,0.122705
0,182,103,80,66,10.0,"tensor([-344.3311], device='cuda:0')",18.175809826567672,36.74997389316559,0.12529
0,183,86,83,79,10.0,"tensor([-390.0636], device='cuda:0')",20.208657341408394,40.4999703168869,0.116105
0,184,88,72,96,10.0,"tensor([-446.1640], device='cuda:0')",21.945299007711583,42.24996864795685,0.11748
0,185,95,80,70,10.0,"tensor([-368.3483], device='cuda:0')",19.412783451099408,37.49997317790985,0.120945
0,186,102,73,80,9.0,"tensor([-358.8998], device='cuda:0')",18.456852105537465,38.499972224235535,0.12826
0,187,93,89,69,10.0,"tensor([-386.1303], device='cuda:0')",19.829669528162157,39.74997103214264,0.12111
0,188,87,87,78,9.0,"tensor([-396.9705], device='cuda:0')",20.223202252767923,41.249969601631165,0.115445
0,189,91,82,80,10.0,"tensor([-385.5318], device='cuda:0')",19.614316873163094,40.4999703168869,0.11858
0,190,109,94,65,10.0,"tensor([-400.6948], device='cuda:0')",19.281929629415675,39.74997103214264,0.136345
0,191,96,86,71,10.0,"tensor([-388.1468], device='cuda:0')",19.757893446854982,39.49997127056122,0.121055
0,192,92,87,73,10.0,"tensor([-383.6710], device='cuda:0')",19.68054399189968,39.99997079372406,0.120615
0,193,100,92,76,10.0,"tensor([-452.2940], device='cuda:0')",21.336740679489868,41.99996888637543,0.12958
0,194,84,78,80,9.0,"tensor([-355.4161], device='cuda:0')",19.11052608023559,39.49997127056122,0.11242
0,195,80,85,86,10.0,"tensor([-434.2794], device='cuda:0')",21.863532402140805,42.99996793270111,0.11044
0,196,85,71,82,10.0,"tensor([-354.3448], device='cuda:0')",19.316165194604075,38.249972462654114,0.10945
0,197,113,72,72,10.0,"tensor([-327.5470], device='cuda:0')",17.10343350862273,35.999974608421326,0.136015
0,198,85,106,65,9.0,"tensor([-417.4903], device='cuda:0')",20.751940570335137,42.99996793270111,0.116765
0,199,91,79,82,10.0,"tensor([-384.8216], device='cuda:0')",19.6547502378327,40.24997055530548,0.117425
0,200,107,78,73,10.0,"tensor([-386.4912], device='cuda:0')",19.448632128940996,37.99997270107269,0.13112
0,201,96,87,64,10.0,"tensor([-344.4988], device='cuda:0')",18.393714277654407,37.74997293949127,0.118745
0,202,93,79,62,10.0,"tensor([-325.0378], device='cuda:0')",18.28310928450754,35.24997532367706,0.11341
0,203,110,86,56,10.0,"tensor([-332.2478], device='cuda:0')",17.461135882348,35.499975085258484,0.12914
0,204,84,88,84,9.0,"tensor([-431.8670], device='cuda:0')",21.38963538891403,42.99996793270111,0.115885
0,205,94,92,70,10.0,"tensor([-393.3076], device='cuda:0')",19.80662892037799,40.4999703168869,0.12276
0,206,81,104,89,10.0,"tensor([-547.3389], device='cuda:0')",24.484147903475634,48.24996292591095,0.12364
0,207,88,89,86,10.0,"tensor([-462.1207], device='cuda:0')",22.056069949415193,43.74996721744537,0.120945
0,208,83,93,81,10.0,"tensor([-466.4267], device='cuda:0')",22.706211564323144,43.74996721744537,0.116545
0,209,100,85,75,9.0,"tensor([-439.6557], device='cuda:0')",21.421140819214855,40.24997055530548,0.129195
0,210,93,95,79,9.0,"tensor([-467.6776], device='cuda:0')",22.029948903226785,43.49996745586395,0.12496
0,211,96,87,63,10.0,"tensor([-354.8933], device='cuda:0')",18.89429807973405,37.49997317790985,0.11913
0,212,80,98,68,9.0,"tensor([-421.4805], device='cuda:0')",21.61482416331859,41.499969363212585,0.110055
0,213,95,71,82,10.0,"tensor([-360.3258], device='cuda:0')",18.968739047939437,38.249972462654114,0.12133
0,214,94,87,69,9.0,"tensor([-378.3501], device='cuda:0')",19.556989235917527,38.99997174739838,0.11814
0,215,92,82,78,10.0,"tensor([-402.4213], device='cuda:0')",20.411694127075847,39.99997079372406,0.12023
0,216,89,101,76,10.0,"tensor([-482.0013], device='cuda:0')",22.631564810591982,44.499966502189636,0.12298
0,217,101,96,54,10.0,"tensor([-368.7105], device='cuda:0')",19.1424191855191,37.49997317790985,0.123145
0,218,99,90,68,10.0,"tensor([-430.4186], device='cuda:0')",21.26846964713838,39.49997127056122,0.12562
0,219,85,86,84,9.0,"tensor([-438.7367], device='cuda:0')",21.745084693984072,42.74996817111969,0.11484
0,220,102,85,64,10.0,"tensor([-325.7217], device='cuda:0')",17.17329705876124,37.24997341632843,0.12287
0,221,98,93,66,10.0,"tensor([-384.0785], device='cuda:0')",19.389093711117013,39.74997103214264,0.12474
0,222,96,87,79,9.0,"tensor([-415.4562], device='cuda:0')",20.29865195011393,41.499969363212585,0.12606
0,223,92,84,72,9.0,"tensor([-387.6690], device='cuda:0')",20.13809293951659,39.2499715089798,0.116765
0,224,100,92,64,10.0,"tensor([-389.2282], device='cuda:0')",19.631824434327427,39.2499715089798,0.126885
0,225,107,78,67,10.0,"tensor([-332.8334], device='cuda:0')",17.630942613958187,36.24997437000275,0.128425
0,226,89,98,75,10.0,"tensor([-448.3493], device='cuda:0')",21.59254395772653,43.49996745586395,0.124135
0,227,93,84,78,9.0,"tensor([-422.7026], device='cuda:0')",21.051948027612237,40.4999703168869,0.121495
0,228,96,86,70,8.0,"tensor([-390.0413], device='cuda:0')",19.965266029439157,38.99997174739838,0.12067
0,229,112,86,68,10.0,"tensor([-395.2399], device='cuda:0')",19.29416172504005,38.499972224235535,0.13706
0,230,86,90,82,9.0,"tensor([-435.5880], device='cuda:0')",21.339134248912103,42.99996793270111,0.11726
0,231,96,78,84,10.0,"tensor([-429.3450], device='cuda:0')",21.105802959030072,40.74997007846832,0.125675
0,232,104,86,70,9.0,"tensor([-402.4962], device='cuda:0')",19.947103642894383,38.99997174739838,0.12925
0,233,85,89,77,10.0,"tensor([-425.4944], device='cuda:0')",21.42229764091511,41.749969124794006,0.113685
0,234,89,91,82,10.0,"tensor([-456.5550], device='cuda:0')",21.897887195574246,43.24996769428253,0.121055
0,235,94,100,62,10.0,"tensor([-405.8867], device='cuda:0')",20.28905037077493,40.4999703168869,0.12122
0,236,101,84,69,9.0,"tensor([-354.9832], device='cuda:0')",18.371052484350706,38.499972224235535,0.123145
0,237,101,104,56,10.0,"tensor([-404.0447], device='cuda:0')",19.865888585711176,40.24997055530548,0.12969
0,238,94,99,69,10.0,"tensor([-418.8848], device='cuda:0')",20.444644226351368,41.99996888637543,0.123145
0,239,92,92,68,9.0,"tensor([-395.5454], device='cuda:0')",20.167646782347077,40.24997055530548,0.118305
0,240,94,78,79,10.0,"tensor([-393.3914], device='cuda:0')",20.11552590680164,39.2499715089798,0.12045
0,241,93,82,79,9.0,"tensor([-409.3775], device='cuda:0')",20.597428603163795,40.24997055530548,0.119955
0,242,91,85,92,10.0,"tensor([-474.0189], device='cuda:0')",22.200545947825006,44.499966502189636,0.125895
0,243,102,89,74,10.0,"tensor([-429.3880], device='cuda:0')",20.64527057480278,40.74997007846832,0.130955
0,244,92,86,80,9.0,"tensor([-427.8439], device='cuda:0')",21.104638446338996,41.499969363212585,0.121
0,245,85,89,70,9.0,"tensor([-380.6560], device='cuda:0')",20.05392120803547,39.74997103214264,0.1133
0,246,95,85,73,10.0,"tensor([-372.3169], device='cuda:0')",19.144257654623672,39.74997103214264,0.12133
0,247,91,83,79,9.0,"tensor([-401.0667], device='cuda:0')",20.302359435501188,40.4999703168869,0.12012
0,248,81,83,88,9.0,"tensor([-429.9851], device='cuda:0')",21.544629629952684,42.74996817111969,0.11286
0,249,97,95,69,10.0,"tensor([-405.9501], device='cuda:0')",19.979873164360665,40.999969840049744,0.125785
0,250,101,89,62,8.0,"tensor([-374.8715], device='cuda:0')",19.291655431568092,37.74997293949127,0.1243
0,251,90,100,66,10.0,"tensor([-410.2565], device='cuda:0')",20.463854899753642,41.749969124794006,0.12001
